stat-name,user,supervisor,hypervisor,machine,total
cycles,259213,0,0,0,259213
commits,193695,0,0,0,193695
ins_fetch,198538,0,0,0,198538
sim_time_milli_sec,0,0,0,0,368
insn_mem_delay,1765,0,0,0,1765
data_mem_delay,2300,0,0,0,2300
exec_unit_delay,0,0,0,0,0
load_insn,52990,0,0,0,52990
store_insn,38455,0,0,0,38455
atomic_insn,0,0,0,0,0
system_insn,1,0,0,0,1
aritmetic_insn,91313,0,0,0,91313
cond_branches,1948,0,0,0,1948
jal_insn,3304,0,0,0,3304
jalr_insn,3105,0,0,0,3105
int_mul_insn,896,0,0,0,896
int_div_insn,131,0,0,0,131
fp_load_insn,0,0,0,0,0
fp_store_insn,0,0,0,0,0
fp_add_insn,0,0,0,0,0
fp_mul_insn,0,0,0,0,0
fp_fma_insn,0,0,0,0,0
fp_div_sqrt_insn,0,0,0,0,0
fp_misc_insn,0,0,0,0,0
load_byte_insn,0,0,0,0,0
load_half_word_insn,16,0,0,0,16
load_word_insn,21951,0,0,0,21951
load_double_word_insn,31039,0,0,0,31039
itlb_reads,8567,0,0,0,8567
itlb_hits,8566,0,0,0,8566
load_tlb_reads,53266,0,0,0,53266
load_tlb_hits,53250,0,0,0,53250
store_tlb_reads,39991,0,0,0,39991
store_tlb_hits,38455,0,0,0,38455
cond_branches_taken,1749,0,0,0,1749
cond_branches_pred_correct,1739,0,0,0,1739
cond_branches_pred_incorrect,209,0,0,0,209
uncond_branches_pred_correct,6398,0,0,0,6398
uncond_branches_pred_incorrect,21,0,0,0,21
btb_reads,206905,0,0,0,206905
btb_hits,10490,0,0,0,10490
btb_inserts,34,0,0,0,34
btb_updates,5261,0,0,0,5261
int_regfile_reads,0,0,0,0,0
int_regfile_writes,146915,0,0,0,146915
fp_regfile_reads,0,0,0,0,0
fp_regfile_writes,0,0,0,0,0
csr_reads,1,0,0,0,1
csr_writes,0,0,0,0,0
fu_alu_accesses,193900,0,0,0,193900
fu_mul_accesses,896,0,0,0,896
fu_div_accesses,131,0,0,0,131
fu_fpu_alu_accesses,0,0,0,0,0
fu_fpu_fma_accesses,0,0,0,0,0
ins_page_walks,1,0,0,0,1
load_page_walks,16,0,0,0,16
store_page_walks,1536,0,0,0,1536
misaligned_fetch,0,0,0,0,0
fault_fetch,0,0,0,0,0
illegal_instruction,0,0,0,0,0
breakpoint,0,0,0,0,0
misaligned_load,0,0,0,0,0
fault_load,0,0,0,0,0
misaligned_store,0,0,0,0,0
fault_store,0,0,0,0,0
user_ecall,0,0,0,0,0
supervisor_ecall,0,0,0,0,0
hypervisor_ecall,0,0,0,0,0
machine_ecall,0,0,0,0,0
fetch_page_fault,0,0,0,0,0
load_page_fault,0,0,0,0,0
store_page_fault,0,0,0,0,0
user_software_interrupt,0,0,0,0,0
supervisor_software_interrupt,0,0,0,0,0
machine_software_interrupt,0,0,0,0,0
user_timer_interrupt,0,0,0,0,0
supervisor_timer_interrupt,0,0,0,0,0
machine_timer_interrupt,0,0,0,0,0
user_external_interrupt,0,0,0,0,0
supervisor_external_interrupt,0,0,0,0,0
machine_external_interrupt,0,0,0,0,0
pipeline_flush,3338,0,0,0,3338
L1_icache_reads,198538,0,0,0,198538
L1_icache_read_misses,34,0,0,0,34
L1_dcache_reads,53250,0,0,0,53250
L1_dcache_read_misses,5,0,0,0,5
L1_dcache_writes,38455,0,0,0,38455
L1_dcache_write_misses,3,0,0,0,3
L2_cache_reads,42,0,0,0,42
L2_cache_read_misses,42,0,0,0,42
L2_cache_writes,0,0,0,0,0
L2_cache_write_misses,0,0,0,0,0
